game_id	quarter	q_time	q_time_remaining	team	event	score	team1_score	team2_score	team1_event_point	team2_event_point	player1	player2	action	action_what	foot_value	free_throw	point_info	player_secondary	action_secondary	team_action
401126822	1	00:00	12:00	gs	JaMychal Green vs. Andrew Bogut (Draymond Green gains possession)	0 - 0	0	0	0	0	JaMychal Green	Andrew Bogut	vs.					Draymond Green	gains possession	
401126822	1	00:23	11:37	gs	Draymond Green misses 26-foot three point jumper	0 - 0	0	0	0	0	Draymond Green		misses	jumper	26		three			
401126822	1	00:25	11:35	lac	Patrick Beverley defensive rebound	0 - 0	0	0	0	0	Patrick Beverley		defensive rebound							
401126822	1	00:43	11:17	lac	JaMychal Green misses 27-foot three point jumper	0 - 0	0	0	0	0	JaMychal Green		misses	jumper	27		three			
401126822	1	00:45	11:15	gs	Klay Thompson defensive rebound	0 - 0	0	0	0	0	Klay Thompson		defensive rebound							
401126822	1	00:55	11:05	gs	Klay Thompson makes 30-foot three point jumper (Draymond Green assists)	0 - 3	0	3	0	3	Klay Thompson		makes	jumper	30		three	Draymond Green	assists	
401126822	1	01:20	10:40	gs	Kevin Durant shooting foul	0 - 3	0	3	0	0	Kevin Durant		foul							
401126822	1	01:20	10:40	lac	Danilo Gallinari makes free throw 1 of 2	1 - 3	1	3	1	0	Danilo Gallinari		makes	free throw		1-2				
401126822	1	01:20	10:40	lac	Danilo Gallinari makes free throw 2 of 2	2 - 3	2	3	1	0	Danilo Gallinari		makes	free throw		2-2				
401126822	1	01:32	10:28	gs	Klay Thompson misses 17-foot two point shot	2 - 3	2	3	0	0	Klay Thompson		misses	shot	17		two			
401126822	1	01:34	10:26	lac	JaMychal Green defensive rebound	2 - 3	2	3	0	0	JaMychal Green		defensive rebound							
401126822	1	01:37	10:23	lac	Danilo Gallinari misses 28-foot three point shot	2 - 3	2	3	0	0	Danilo Gallinari		misses	shot	28		three			
401126822	1	01:39	10:21	gs	Andrew Bogut defensive rebound	2 - 3	2	3	0	0	Andrew Bogut		defensive rebound							
401126822	1	01:48	10:12	gs	Kevin Durant makes 14-foot two point shot	2 - 5	2	5	0	2	Kevin Durant		makes	shot	14		two			
401126822	1	01:48	10:12	lac	Landry Shamet shooting foul	2 - 5	2	5	0	0	Landry Shamet		foul							
401126822	1	01:48	10:12	gs	Kevin Durant makes free throw 1 of 1	2 - 6	2	6	0	1	Kevin Durant		makes	free throw		1-1				
401126822	1	02:13	9:47	gs	Stephen Curry shooting foul	2 - 6	2	6	0	0	Stephen Curry		foul							
401126822	1	02:13	9:47	lac	Landry Shamet makes free throw 1 of 3	3 - 6	3	6	1	0	Landry Shamet		makes	free throw		1-3				
401126822	1	02:13	9:47	lac	Landry Shamet makes free throw 2 of 3	4 - 6	4	6	1	0	Landry Shamet		makes	free throw		2-3				
401126822	1	02:13	9:47	lac	Landry Shamet makes free throw 3 of 3	5 - 6	5	6	1	0	Landry Shamet		makes	free throw		3-3				
401126822	1	02:27	9:33	gs	Kevin Durant misses 17-foot jumper	5 - 6	5	6	0	0	Kevin Durant		misses	jumper	17					
401126822	1	02:31	9:29	lac	Clippers defensive team rebound	5 - 6	5	6	0	0			defensive rebound	team						clippers
401126822	1	02:42	9:18	lac	Kevin Durant blocks Landry Shamet's driving layup	5 - 6	5	6	0	0	Kevin Durant	Landry Shamet	blocks	driving layup						
401126822	1	02:43	9:17	gs	Andrew Bogut defensive rebound	5 - 6	5	6	0	0	Andrew Bogut		defensive rebound							
401126822	1	02:47	9:13	lac	Patrick Beverley personal foul	5 - 6	5	6	0	0	Patrick Beverley		foul							
401126822	1	02:48	9:12	gs	Stephen Curry misses 20-foot jumper	5 - 6	5	6	0	0	Stephen Curry		misses	jumper	20					
401126822	1	02:50	9:10	lac	Patrick Beverley defensive rebound	5 - 6	5	6	0	0	Patrick Beverley		defensive rebound							
401126822	1	03:00	9:00	lac	JaMychal Green makes 23-foot jumper (Patrick Beverley assists)	7 - 6	7	6	2	0	JaMychal Green		makes	jumper	23			Patrick Beverley	assists	
401126822	1	03:11	8:49	gs	Andrew Bogut misses alley oop layup	7 - 6	7	6	0	0	Andrew Bogut		misses	alley oop layup						
401126822	1	03:12	8:48	lac	Shai Gilgeous-Alexander defensive rebound	7 - 6	7	6	0	0	Shai Gilgeous-Alexander		defensive rebound							
401126822	1	03:18	8:42	lac	Danilo Gallinari misses 27-foot three point jumper	7 - 6	7	6	0	0	Danilo Gallinari		misses	jumper	27		three			
401126822	1	03:21	8:39	lac	Clippers offensive team rebound	7 - 6	7	6	0	0			offensive rebound	team						clippers
401126822	1	03:34	8:26	lac	Patrick Beverley makes 25-foot three pointer (Danilo Gallinari assists)	10 - 6	10	6	3	0	Patrick Beverley		makes	er	25		three	Danilo Gallinari	assists	
401126822	1	03:40	8:20	gs	Stephen Curry back court turnover	10 - 6	10	6	0	0	Stephen Curry		turnover							
401126822	1	03:52	8:08	lac	Patrick Beverley makes 27-foot three point jumper (JaMychal Green assists)	13 - 6	13	6	3	0	Patrick Beverley		makes	jumper	27		three	JaMychal Green	assists	
401126822	1	04:13	7:47	gs	Andrew Bogut makes layup (Draymond Green assists)	13 - 8	13	8	0	2	Andrew Bogut		makes	layup				Draymond Green	assists	
401126822	1	04:33	7:27	lac	JaMychal Green misses 23-foot three point jumper	13 - 8	13	8	0	0	JaMychal Green		misses	jumper	23		three			
401126822	1	04:35	7:25	lac	Danilo Gallinari offensive rebound	13 - 8	13	8	0	0	Danilo Gallinari		offensive rebound							
401126822	1	04:37	7:23	lac	Danilo Gallinari misses 30-foot three point jumper	13 - 8	13	8	0	0	Danilo Gallinari		misses	jumper	30		three			
401126822	1	04:37	7:23	lac	Clippers offensive team rebound	13 - 8	13	8	0	0			offensive rebound	team						clippers
401126822	1	04:37	7:23	gs	Andrew Bogut loose ball foul	13 - 8	13	8	0	0	Andrew Bogut		foul							
