game_id	quarter	q_time	q_time_remaining	team	event	score	team1_score	team2_score	team1_event_point	team2_event_point	player1	player2	action	action_what	foot_value	free_throw	point_info	player_secondary	action_secondary	team_action
401129353	1	00:00	12:00	gs	Clint Capela vs. Kevin Durant (Draymond Green gains possession)	0 - 0	0	0	0	0	Clint Capela	Kevin Durant	vs.					Draymond Green	gains possession	
401129353	1	00:13	11:47	gs	Draymond Green makes 2-foot layup (Andre Iguodala assists)	0 - 2	0	2	0	2	Draymond Green		makes	layup	2			Andre Iguodala	assists	
401129353	1	00:32	11:28	hou	Eric Gordon misses 28-foot three point jumper	0 - 2	0	2	0	0	Eric Gordon		misses	jumper	28		three			
401129353	1	00:34	11:26	gs	Andre Iguodala defensive rebound	0 - 2	0	2	0	0	Andre Iguodala		defensive rebound							
401129353	1	00:49	11:11	gs	Draymond Green makes 12-foot two point shot	0 - 4	0	4	0	2	Draymond Green		makes	shot	12		two			
401129353	1	01:13	10:47	hou	James Harden makes two point shot	2 - 4	2	4	2	0	James Harden		makes	shot			two			
401129353	1	01:32	10:28	gs	Klay Thompson makes 13-foot two point shot (Andre Iguodala assists)	2 - 6	2	6	0	2	Klay Thompson		makes	shot	13		two	Andre Iguodala	assists	
401129353	1	01:44	10:16	hou	Eric Gordon misses 26-foot three point jumper	2 - 6	2	6	0	0	Eric Gordon		misses	jumper	26		three			
401129353	1	01:46	10:14	gs	Kevin Durant defensive rebound	2 - 6	2	6	0	0	Kevin Durant		defensive rebound							
401129353	1	02:01	9:59	gs	Draymond Green misses driving floating jump shot	2 - 6	2	6	0	0	Draymond Green		misses	driving floating jump shot						
401129353	1	02:02	9:58	hou	Clint Capela defensive rebound	2 - 6	2	6	0	0	Clint Capela		defensive rebound							
401129353	1	02:14	9:46	gs	Andre Iguodala shooting foul	2 - 6	2	6	0	0	Andre Iguodala		foul							
401129353	1	02:14	9:46	hou	Clint Capela makes free throw 1 of 2	3 - 6	3	6	1	0	Clint Capela		makes	free throw		1-2				
401129353	1	02:14	9:46	hou	Clint Capela makes free throw 2 of 2	4 - 6	4	6	1	0	Clint Capela		makes	free throw		2-2				
401129353	1	02:26	9:34	gs	Kevin Durant lost ball turnover (PJ Tucker steals)	4 - 6	4	6	0	0	Kevin Durant		turnover					PJ Tucker	steals	
401129353	1	02:33	9:27	hou	Eric Gordon makes driving layup (Chris Paul assists)	6 - 6	6	6	2	0	Eric Gordon		makes	driving layup				Chris Paul	assists	
401129353	1	02:33	9:27	gs	Klay Thompson shooting foul	6 - 6	6	6	0	0	Klay Thompson		foul							
401129353	1	02:33	9:27	hou	Eric Gordon makes free throw 1 of 1	7 - 6	7	6	1	0	Eric Gordon		makes	free throw		1-1				
401129353	1	02:43	9:17	gs	Kevin Durant misses 15-foot jumper	7 - 6	7	6	0	0	Kevin Durant		misses	jumper	15					
401129353	1	02:44	9:16	hou	Clint Capela defensive rebound	7 - 6	7	6	0	0	Clint Capela		defensive rebound							
401129353	1	02:55	9:05	hou	James Harden misses 26-foot three point jumper	7 - 6	7	6	0	0	James Harden		misses	jumper	26		three			
401129353	1	02:57	9:03	gs	Draymond Green defensive rebound	7 - 6	7	6	0	0	Draymond Green		defensive rebound							
401129353	1	03:05	8:55	gs	Andre Iguodala makes two point shot (Draymond Green assists)	7 - 8	7	8	0	2	Andre Iguodala		makes	shot			two	Draymond Green	assists	
401129353	1	03:14	8:46	hou	Eric Gordon misses 27-foot three point jumper	7 - 8	7	8	0	0	Eric Gordon		misses	jumper	27		three			
401129353	1	03:16	8:44	gs	Draymond Green defensive rebound	7 - 8	7	8	0	0	Draymond Green		defensive rebound							
401129353	1	03:30	8:30	hou	James Harden shooting foul	7 - 8	7	8	0	0	James Harden		foul							
401129353	1	03:30	8:30	gs	Stephen Curry makes free throw 1 of 2	7 - 9	7	9	0	1	Stephen Curry		makes	free throw		1-2				
401129353	1	03:30	8:30	gs	Stephen Curry makes free throw 2 of 2	7 - 10	7	10	0	1	Stephen Curry		makes	free throw		2-2				
401129353	1	03:50	8:10	hou	James Harden misses 27-foot step back jumpshot	7 - 10	7	10	0	0	James Harden		misses	step back jumpshot	27					
401129353	1	03:52	8:08	gs	Warriors defensive team rebound	7 - 10	7	10	0	0			defensive rebound	team						warriors
401129353	1	03:59	8:01	gs	Draymond Green out of bounds bad pass turnover	7 - 10	7	10	0	0	Draymond Green		turnover							
401129353	1	04:16	7:44	gs	Andre Iguodala shooting foul	7 - 10	7	10	0	0	Andre Iguodala		foul							
401129353	1	04:16	7:44	hou	James Harden makes free throw 1 of 2	8 - 10	8	10	1	0	James Harden		makes	free throw		1-2				
401129353	1	04:16	7:44	gs	Kevon Looney enters the game for Andre Iguodala	8 - 10	8	10	0	0	Kevon Looney	Andre Iguodala	enters the game for							
401129353	1	04:16	7:44	hou	James Harden makes free throw 2 of 2	9 - 10	9	10	1	0	James Harden		makes	free throw		2-2				
401129353	1	04:29	7:31	gs	Kevin Durant misses 14-foot pullup jump shot	9 - 10	9	10	0	0	Kevin Durant		misses	pullup jump shot	14					
401129353	1	04:30	7:30	gs	Kevon Looney offensive rebound	9 - 10	9	10	0	0	Kevon Looney		offensive rebound							
401129353	1	04:39	7:21	gs	Draymond Green makes two point shot (Klay Thompson assists)	9 - 12	9	12	0	2	Draymond Green		makes	shot			two	Klay Thompson	assists	
401129353	1	04:53	7:07	hou	PJ Tucker misses 23-foot three point jumper	9 - 12	9	12	0	0	PJ Tucker		misses	jumper	23		three			
401129353	1	04:55	7:05	gs	Stephen Curry defensive rebound	9 - 12	9	12	0	0	Stephen Curry		defensive rebound							
401129353	1	05:02	6:58	gs	Klay Thompson steps out of bounds turnover	9 - 12	9	12	0	0	Klay Thompson		turnover							
401129353	1	05:02	6:58	gs	Warriors Full timeout	9 - 12	9	12	0	0			full timeout							warriors
401129353	1	05:02	6:58	hou	Danuel House Jr. enters the game for Chris Paul	9 - 12	9	12	0	0	Danuel House Jr.	Chris Paul	enters the game for							
401129353	1	05:02	6:58	hou	Nene Hilario enters the game for Clint Capela	9 - 12	9	12	0	0	Nene Hilario	Clint Capela	enters the game for							
401129353	1	05:20	6:40	hou	Danuel House Jr. offensive foul	9 - 12	9	12	0	0	Danuel House Jr.		foul							
401129353	1	05:20	6:40	hou	Danuel House Jr. turnover	9 - 12	9	12	0	0	Danuel House Jr.		turnover							
401129353	1	05:28	6:32	gs	Kevon Looney lost ball turnover (Nene Hilario steals)	9 - 12	9	12	0	0	Kevon Looney		turnover					Nene Hilario	steals	
401129353	1	05:42	6:18	hou	James Harden misses driving layup	9 - 12	9	12	0	0	James Harden		misses	driving layup						
401129353	1	05:44	6:16	gs	Draymond Green defensive rebound	9 - 12	9	12	0	0	Draymond Green		defensive rebound							
401129353	1	05:47	6:13	gs	Draymond Green makes two point shot	9 - 14	9	14	0	2	Draymond Green		makes	shot			two			
401129353	1	05:55	6:05	hou	James Harden misses two point shot	9 - 14	9	14	0	0	James Harden		misses	shot			two			
401129353	1	05:56	6:04	gs	Kevon Looney defensive rebound	9 - 14	9	14	0	0	Kevon Looney		defensive rebound							
