game_id	quarter	q_time	q_time_remaining	team	event	score	team1_score	team2_score	team1_event_point	team2_event_point	player1	player2	action	action_what	foot_value	free_throw	point_info	player_secondary	action_secondary	team_action
401126851	1	00:00	12:00	phi	Jarrett Allen vs. Joel Embiid (Ben Simmons gains possession)	0 - 0	0	0	0	0	Jarrett Allen	Joel Embiid	vs.					Ben Simmons	gains possession	
401126851	1	00:13	11:47	phi	Ben Simmons lost ball turnover (Jared Dudley steals)	0 - 0	0	0	0	0	Ben Simmons		turnover					Jared Dudley	steals	
401126851	1	00:32	11:28	bkn	D'Angelo Russell misses 20-foot jumper	0 - 0	0	0	0	0	D'Angelo Russell		misses	jumper	20					
401126851	1	00:35	11:25	phi	Joel Embiid defensive rebound	0 - 0	0	0	0	0	Joel Embiid		defensive rebound							
401126851	1	00:46	11:14	phi	Ben Simmons misses driving layup	0 - 0	0	0	0	0	Ben Simmons		misses	driving layup						
401126851	1	00:51	11:09	phi	Joel Embiid offensive rebound	0 - 0	0	0	0	0	Joel Embiid		offensive rebound							
401126851	1	00:51	11:09	phi	Joel Embiid makes tip shot	0 - 2	0	2	0	2	Joel Embiid		makes	tip shot						
401126851	1	01:05	10:55	bkn	Jarrett Allen misses 10-foot two point shot	0 - 2	0	2	0	0	Jarrett Allen		misses	shot	10		two			
401126851	1	01:07	10:53	phi	Joel Embiid defensive rebound	0 - 2	0	2	0	0	Joel Embiid		defensive rebound							
401126851	1	01:18	10:42	phi	Joel Embiid makes 14-foot pullup jump shot (Tobias Harris assists)	0 - 4	0	4	0	2	Joel Embiid		makes	pullup jump shot	14			Tobias Harris	assists	
401126851	1	01:34	10:26	bkn	Joe Harris misses 11-foot two point shot	0 - 4	0	4	0	0	Joe Harris		misses	shot	11		two			
401126851	1	01:37	10:23	phi	Joel Embiid defensive rebound	0 - 4	0	4	0	0	Joel Embiid		defensive rebound							
401126851	1	01:41	10:19	phi	JJ Redick misses 26-foot three point shot	0 - 4	0	4	0	0	JJ Redick		misses	shot	26		three			
401126851	1	01:43	10:17	bkn	Jarrett Allen defensive rebound	0 - 4	0	4	0	0	Jarrett Allen		defensive rebound							
401126851	1	01:51	10:09	bkn	Caris LeVert misses driving floating jump shot	0 - 4	0	4	0	0	Caris LeVert		misses	driving floating jump shot						
401126851	1	01:54	10:06	phi	Joel Embiid defensive rebound	0 - 4	0	4	0	0	Joel Embiid		defensive rebound							
401126851	1	01:59	10:01	phi	Joel Embiid misses 12-foot pullup jump shot	0 - 4	0	4	0	0	Joel Embiid		misses	pullup jump shot	12					
401126851	1	02:03	9:57	bkn	D'Angelo Russell defensive rebound	0 - 4	0	4	0	0	D'Angelo Russell		defensive rebound							
401126851	1	02:08	9:52	bkn	D'Angelo Russell misses 27-foot three point pullup jump shot	0 - 4	0	4	0	0	D'Angelo Russell		misses	pullup jump shot	27		three			
401126851	1	02:11	9:49	phi	Ben Simmons defensive rebound	0 - 4	0	4	0	0	Ben Simmons		defensive rebound							
401126851	1	02:30	9:30	phi	Joel Embiid makes driving dunk (Ben Simmons assists)	0 - 6	0	6	0	2	Joel Embiid		makes	driving dunk				Ben Simmons	assists	
401126851	1	02:43	9:17	phi	JJ Redick personal foul	0 - 6	0	6	0	0	JJ Redick		foul							
401126851	1	02:45	9:15	bkn	Joe Harris bad pass (Jimmy Butler steals)	0 - 6	0	6	0	0	Joe Harris		bad pass					Jimmy Butler	steals	
401126851	1	02:47	9:13	phi	Jimmy Butler makes dunk	0 - 8	0	8	0	2	Jimmy Butler		makes	dunk						
401126851	1	02:47	9:13	bkn	Nets Full timeout	0 - 8	0	8	0	0			full timeout							nets
401126851	1	03:02	8:58	bkn	Jared Dudley bad pass (Tobias Harris steals)	0 - 8	0	8	0	0	Jared Dudley		bad pass					Tobias Harris	steals	
401126851	1	03:07	8:53	phi	Jimmy Butler misses 23-foot three point jumper	0 - 8	0	8	0	0	Jimmy Butler		misses	jumper	23		three			
401126851	1	03:11	8:49	bkn	Joe Harris defensive rebound	0 - 8	0	8	0	0	Joe Harris		defensive rebound							
401126851	1	03:16	8:44	bkn	Jared Dudley misses 27-foot three point jumper	0 - 8	0	8	0	0	Jared Dudley		misses	jumper	27		three			
401126851	1	03:19	8:41	bkn	Jarrett Allen offensive rebound	0 - 8	0	8	0	0	Jarrett Allen		offensive rebound							
401126851	1	03:33	8:27	bkn	shot clock turnover	0 - 8	0	8	0	0			turnover							
401126851	1	03:47	8:13	phi	Jimmy Butler makes 8-foot two point shot	0 - 10	0	10	0	2	Jimmy Butler		makes	shot	8		two			
401126851	1	03:57	8:03	bkn	Joe Harris misses three point jumper	0 - 10	0	10	0	0	Joe Harris		misses	jumper			three			
401126851	1	04:00	8:00	phi	Ben Simmons defensive rebound	0 - 10	0	10	0	0	Ben Simmons		defensive rebound							
401126851	1	04:04	7:56	phi	Tobias Harris misses 26-foot three point jumper	0 - 10	0	10	0	0	Tobias Harris		misses	jumper	26		three			
401126851	1	04:10	7:50	bkn	Jarrett Allen defensive rebound	0 - 10	0	10	0	0	Jarrett Allen		defensive rebound							
401126851	1	04:26	7:34	bkn	Caris LeVert back court turnover	0 - 10	0	10	0	0	Caris LeVert		turnover							
401126851	1	04:42	7:18	phi	Joel Embiid makes 4-foot two point shot	0 - 12	0	12	0	2	Joel Embiid		makes	shot	4		two			
401126851	1	05:03	6:57	bkn	D'Angelo Russell misses 11-foot pullup jump shot	0 - 12	0	12	0	0	D'Angelo Russell		misses	pullup jump shot	11					
401126851	1	05:05	6:55	phi	Tobias Harris defensive rebound	0 - 12	0	12	0	0	Tobias Harris		defensive rebound							
401126851	1	05:15	6:45	phi	Joel Embiid misses 5-foot two point shot	0 - 12	0	12	0	0	Joel Embiid		misses	shot	5		two			
401126851	1	05:17	6:43	phi	Tobias Harris offensive rebound	0 - 12	0	12	0	0	Tobias Harris		offensive rebound							
401126851	1	05:19	6:41	bkn	Jared Dudley shooting foul	0 - 12	0	12	0	0	Jared Dudley		foul							
401126851	1	05:19	6:41	phi	Joel Embiid makes free throw 1 of 2	0 - 13	0	13	0	1	Joel Embiid		makes	free throw		1-2				
401126851	1	05:19	6:41	bkn	Treveon Graham enters the game for Jared Dudley	0 - 13	0	13	0	0	Treveon Graham	Jared Dudley	enters the game for							
401126851	1	05:19	6:41	bkn	Spencer Dinwiddie enters the game for Caris LeVert	0 - 13	0	13	0	0	Spencer Dinwiddie	Caris LeVert	enters the game for							
401126851	1	05:19	6:41	phi	Joel Embiid makes free throw 2 of 2	0 - 14	0	14	0	1	Joel Embiid		makes	free throw		2-2				
401126851	1	05:26	6:34	bkn	Joe Harris out of bounds bad pass turnover	0 - 14	0	14	0	0	Joe Harris		turnover							
401126851	1	05:26	6:34	phi	Boban Marjanovic enters the game for Joel Embiid	0 - 14	0	14	0	0	Boban Marjanovic	Joel Embiid	enters the game for							
401126851	1	05:26	6:34	phi	76ers Full timeout	0 - 14	0	14	0	0			full timeout							76ers
401126851	1	05:26	6:34	phi	Mike Scott enters the game for JJ Redick	0 - 14	0	14	0	0	Mike Scott	JJ Redick	enters the game for							
401126851	1	05:26	6:34	phi	James Ennis III enters the game for Ben Simmons	0 - 14	0	14	0	0	James Ennis III	Ben Simmons	enters the game for							
401126851	1	05:43	6:17	phi	Mike Scott out of bounds lost ball turnover	0 - 14	0	14	0	0	Mike Scott		turnover							
401126851	1	05:52	6:08	bkn	Jarrett Allen makes 1-foot alley oop dunk shot (Spencer Dinwiddie assists)	2 - 14	2	14	2	0	Jarrett Allen		makes	alley oop dunk shot	1			Spencer Dinwiddie	assists	
401126851	1	06:06	5:54	phi	Tobias Harris makes 14-foot jumper (Boban Marjanovic assists)	2 - 16	2	16	0	2	Tobias Harris		makes	jumper	14			Boban Marjanovic	assists	
401126851	1	06:23	5:37	bkn	D'Angelo Russell bad pass (Tobias Harris steals)	2 - 16	2	16	0	0	D'Angelo Russell		bad pass					Tobias Harris	steals	
401126851	1	06:27	5:33	phi	Mike Scott bad pass (Spencer Dinwiddie steals)	2 - 16	2	16	0	0	Mike Scott		bad pass					Spencer Dinwiddie	steals	
401126851	1	06:32	5:28	bkn	Jimmy Butler blocks D'Angelo Russell 's 26-foot three point jumper	2 - 16	2	16	0	0	Jimmy Butler	D'Angelo Russell	blocks	jumper	26		three			
401126851	1	06:37	5:23	phi	Mike Scott defensive rebound	2 - 16	2	16	0	0	Mike Scott		defensive rebound							
401126851	1	06:41	5:19	phi	Jimmy Butler misses two point shot	2 - 16	2	16	0	0	Jimmy Butler		misses	shot			two			
401126851	1	06:41	5:19	bkn	Treveon Graham defensive rebound	2 - 16	2	16	0	0	Treveon Graham		defensive rebound							
401126851	1	06:41	5:19	phi	Boban Marjanovic personal take foul	2 - 16	2	16	0	0	Boban Marjanovic		foul							
401126851	1	06:56	5:04	bkn	Spencer Dinwiddie misses two point shot	2 - 16	2	16	0	0	Spencer Dinwiddie		misses	shot			two			
401126851	1	06:56	5:04	phi	76ers defensive team rebound	2 - 16	2	16	0	0			defensive rebound	team						76ers
401126851	1	07:09	4:51	phi	James Ennis III makes layup (Boban Marjanovic assists)	2 - 18	2	18	0	2	James Ennis III		makes	layup				Boban Marjanovic	assists	
401126851	1	07:21	4:39	bkn	D'Angelo Russell misses driving floating jump shot	2 - 18	2	18	0	0	D'Angelo Russell		misses	driving floating jump shot						
401126851	1	07:24	4:36	phi	Tobias Harris defensive rebound	2 - 18	2	18	0	0	Tobias Harris		defensive rebound							
401126851	1	07:33	4:27	phi	Boban Marjanovic makes 6-foot two point shot (Tobias Harris assists)	2 - 20	2	20	0	2	Boban Marjanovic		makes	shot	6		two	Tobias Harris	assists	
401126851	1	07:45	4:15	bkn	Jarrett Allen misses 2-foot two point shot	2 - 20	2	20	0	0	Jarrett Allen		misses	shot	2		two			
401126851	1	07:47	4:13	bkn	Spencer Dinwiddie offensive rebound	2 - 20	2	20	0	0	Spencer Dinwiddie		offensive rebound							
401126851	1	07:52	4:08	bkn	Spencer Dinwiddie misses 26-foot step back jumpshot	2 - 20	2	20	0	0	Spencer Dinwiddie		misses	step back jumpshot	26					
401126851	1	07:56	4:04	phi	Boban Marjanovic defensive rebound	2 - 20	2	20	0	0	Boban Marjanovic		defensive rebound							
401126851	1	08:06	3:54	phi	Boban Marjanovic misses 17-foot jumper	2 - 20	2	20	0	0	Boban Marjanovic		misses	jumper	17					
401126851	1	08:09	3:51	bkn	Joe Harris defensive rebound	2 - 20	2	20	0	0	Joe Harris		defensive rebound							
401126851	1	08:16	3:44	bkn	Spencer Dinwiddie misses two point shot	2 - 20	2	20	0	0	Spencer Dinwiddie		misses	shot			two			
401126851	1	08:18	3:42	phi	Boban Marjanovic defensive rebound	2 - 20	2	20	0	0	Boban Marjanovic		defensive rebound							
401126851	1	08:25	3:35	phi	Tobias Harris misses 11-foot two point shot	2 - 20	2	20	0	0	Tobias Harris		misses	shot	11		two			
401126851	1	08:27	3:33	phi	Jimmy Butler offensive rebound	2 - 20	2	20	0	0	Jimmy Butler		offensive rebound							
401126851	1	08:28	3:32	phi	Tobias Harris makes 26-foot three point jumper (Jimmy Butler assists)	2 - 23	2	23	0	3	Tobias Harris		makes	jumper	26		three	Jimmy Butler	assists	
401126851	1	08:41	3:19	phi	James Ennis III shooting foul	2 - 23	2	23	0	0	James Ennis III		foul							
401126851	1	08:41	3:19	bkn	Spencer Dinwiddie misses free throw 1 of 2	2 - 23	2	23	0	0	Spencer Dinwiddie		misses	free throw		1-2				
401126851	1	08:41	3:19	bkn	Nets offensive team rebound	2 - 23	2	23	0	0			offensive rebound	team						nets
401126851	1	08:41	3:19	phi	Ben Simmons enters the game for Jimmy Butler	2 - 23	2	23	0	0	Ben Simmons	Jimmy Butler	enters the game for							
401126851	1	08:41	3:19	phi	JJ Redick enters the game for Tobias Harris	2 - 23	2	23	0	0	JJ Redick	Tobias Harris	enters the game for							
401126851	1	08:41	3:19	bkn	Rondae Hollis-Jefferson enters the game for D'Angelo Russell	2 - 23	2	23	0	0	Rondae Hollis-Jefferson	D'Angelo Russell	enters the game for							
401126851	1	08:41	3:19	bkn	Caris LeVert enters the game for Joe Harris	2 - 23	2	23	0	0	Caris LeVert	Joe Harris	enters the game for							
401126851	1	08:41	3:19	bkn	DeMarre Carroll enters the game for Jarrett Allen	2 - 23	2	23	0	0	DeMarre Carroll	Jarrett Allen	enters the game for							
401126851	1	08:41	3:19	bkn	Spencer Dinwiddie makes free throw 2 of 2	3 - 23	3	23	1	0	Spencer Dinwiddie		makes	free throw		2-2				
401126851	1	08:56	3:04	phi	Ben Simmons makes 10-foot two point shot (James Ennis III assists)	3 - 25	3	25	0	2	Ben Simmons		makes	shot	10		two	James Ennis III	assists	
401126851	1	09:07	2:53	bkn	Caris LeVert makes 26-foot three point jumper	6 - 25	6	25	3	0	Caris LeVert		makes	jumper	26		three			
401126851	1	09:25	2:35	phi	Ben Simmons makes 6-foot two point shot (James Ennis III assists)	6 - 27	6	27	0	2	Ben Simmons		makes	shot	6		two	James Ennis III	assists	
401126851	1	09:25	2:35	bkn	Rondae Hollis-Jefferson shooting foul	6 - 27	6	27	0	0	Rondae Hollis-Jefferson		foul							
401126851	1	09:25	2:35	phi	Joel Embiid enters the game for Boban Marjanovic	6 - 27	6	27	0	0	Joel Embiid	Boban Marjanovic	enters the game for							
401126851	1	09:25	2:35	phi	Ben Simmons makes free throw 1 of 1	6 - 28	6	28	0	1	Ben Simmons		makes	free throw		1-1				
401126851	1	09:41	2:19	bkn	Rondae Hollis-Jefferson misses layup	6 - 28	6	28	0	0	Rondae Hollis-Jefferson		misses	layup						
401126851	1	09:43	2:17	phi	Ben Simmons defensive rebound	6 - 28	6	28	0	0	Ben Simmons		defensive rebound							
401126851	1	09:49	2:11	phi	James Ennis III makes driving floating jump shot (Ben Simmons assists)	6 - 30	6	30	0	2	James Ennis III		makes	driving floating jump shot				Ben Simmons	assists	
401126851	1	09:59	2:01	bkn	Rondae Hollis-Jefferson makes 13-foot jumper (Spencer Dinwiddie assists)	8 - 30	8	30	2	0	Rondae Hollis-Jefferson		makes	jumper	13			Spencer Dinwiddie	assists	
401126851	1	10:12	1:48	phi	Ben Simmons misses driving layup	8 - 30	8	30	0	0	Ben Simmons		misses	driving layup						
401126851	1	10:14	1:46	bkn	DeMarre Carroll defensive rebound	8 - 30	8	30	0	0	DeMarre Carroll		defensive rebound							
401126851	1	10:20	1:40	phi	James Ennis III shooting foul	8 - 30	8	30	0	0	James Ennis III		foul							
401126851	1	10:20	1:40	bkn	Caris LeVert makes free throw 1 of 2	9 - 30	9	30	1	0	Caris LeVert		makes	free throw		1-2				
401126851	1	10:20	1:40	bkn	Caris LeVert misses free throw 2 of 2	9 - 30	9	30	0	0	Caris LeVert		misses	free throw		2-2				
401126851	1	10:22	1:38	phi	Joel Embiid defensive rebound	9 - 30	9	30	0	0	Joel Embiid		defensive rebound							
401126851	1	10:32	1:28	bkn	Rondae Hollis-Jefferson personal foul	9 - 30	9	30	0	0	Rondae Hollis-Jefferson		foul							
401126851	1	10:45	1:15	phi	James Ennis III misses 27-foot three point jumper	9 - 30	9	30	0	0	James Ennis III		misses	jumper	27		three			
401126851	1	10:48	1:12	bkn	Caris LeVert defensive rebound	9 - 30	9	30	0	0	Caris LeVert		defensive rebound							
401126851	1	10:57	1:03	bkn	Caris LeVert misses driving layup	9 - 30	9	30	0	0	Caris LeVert		misses	driving layup						
401126851	1	11:00	59.1	bkn	Caris LeVert offensive rebound	9 - 30	9	30	0	0	Caris LeVert		offensive rebound							
