game_id	quarter	q_time	q_time_remaining	team	event	score	team1_score	team2_score	team1_event_point	team2_event_point	player1	player2	action	action_what	foot_value	free_throw	point_info	player_secondary	action_secondary	team_action
401129114	1	00:00	12:00	bos	Al Horford vs. Brook Lopez (Kyrie Irving gains possession)	0 - 0	0	0	0	0	Al Horford	Brook Lopez	vs.					Kyrie Irving	gains possession	
401129114	1	00:10	11:50	bos	Al Horford misses 25-foot three point jumper	0 - 0	0	0	0	0	Al Horford		misses	jumper	25		three			
401129114	1	00:14	11:46	mil	Khris Middleton defensive rebound	0 - 0	0	0	0	0	Khris Middleton		defensive rebound							
401129114	1	00:30	11:30	mil	Khris Middleton makes 27-foot three point jumper	0 - 3	0	3	0	3	Khris Middleton		makes	jumper	27		three			
401129114	1	00:41	11:19	bos	Kyrie Irving misses driving layup	0 - 3	0	3	0	0	Kyrie Irving		misses	driving layup						
401129114	1	00:44	11:16	bos	Al Horford offensive rebound	0 - 3	0	3	0	0	Al Horford		offensive rebound							
401129114	1	00:45	11:15	bos	Jaylen Brown misses 27-foot three point jumper	0 - 3	0	3	0	0	Jaylen Brown		misses	jumper	27		three			
401129114	1	00:49	11:11	mil	Giannis Antetokounmpo defensive rebound	0 - 3	0	3	0	0	Giannis Antetokounmpo		defensive rebound							
401129114	1	00:55	11:05	mil	Giannis Antetokounmpo misses driving layup	0 - 3	0	3	0	0	Giannis Antetokounmpo		misses	driving layup						
401129114	1	00:57	11:03	bos	Marcus Morris defensive rebound	0 - 3	0	3	0	0	Marcus Morris		defensive rebound							
401129114	1	01:04	10:56	mil	Eric Bledsoe personal foul	0 - 3	0	3	0	0	Eric Bledsoe		foul							
401129114	1	01:19	10:41	bos	Kyrie Irving makes driving layup	2 - 3	2	3	2	0	Kyrie Irving		makes	driving layup						
401129114	1	01:53	10:07	mil	Khris Middleton misses 14-foot two point shot	2 - 3	2	3	0	0	Khris Middleton		misses	shot	14		two			
401129114	1	01:53	10:07	mil	Bucks offensive team rebound	2 - 3	2	3	0	0			offensive rebound	team						bucks
401129114	1	01:53	10:07	mil	shot clock turnover	2 - 3	2	3	0	0			turnover							
401129114	1	02:03	9:57	bos	Kyrie Irving bad pass (Eric Bledsoe steals)	2 - 3	2	3	0	0	Kyrie Irving		bad pass					Eric Bledsoe	steals	
401129114	1	02:12	9:48	mil	Eric Bledsoe misses 27-foot three point jumper	2 - 3	2	3	0	0	Eric Bledsoe		misses	jumper	27		three			
401129114	1	02:15	9:45	bos	Kyrie Irving defensive rebound	2 - 3	2	3	0	0	Kyrie Irving		defensive rebound							
401129114	1	02:19	9:41	bos	Jaylen Brown makes 12-foot two point shot (Kyrie Irving assists)	4 - 3	4	3	2	0	Jaylen Brown		makes	shot	12		two	Kyrie Irving	assists	
401129114	1	02:29	9:31	bos	Jaylen Brown shooting foul	4 - 3	4	3	0	0	Jaylen Brown		foul							
401129114	1	02:29	9:31	mil	Eric Bledsoe makes free throw 1 of 2	4 - 4	4	4	0	1	Eric Bledsoe		makes	free throw		1-2				
