game_id	quarter	q_time	q_time_remaining	team	event	score	team1_score	team2_score	team1_event_point	team2_event_point	player1	player2	action	action_what	foot_value	free_throw	point_info	player_secondary	action_secondary	team_action
401126834	1	00:00	12:00	den	Jakob Poeltl vs. Nikola Jokic (Paul Millsap gains possession)	0 - 0	0	0	0	0	Jakob Poeltl	Nikola Jokic	vs.					Paul Millsap	gains possession	
401126834	1	00:17	11:43	den	Gary Harris misses 25-foot three point jumper	0 - 0	0	0	0	0	Gary Harris		misses	jumper	25		three			
401126834	1	00:20	11:40	den	Nikola Jokic offensive rebound	0 - 0	0	0	0	0	Nikola Jokic		offensive rebound							
401126834	1	00:22	11:38	den	Nikola Jokic misses two point shot	0 - 0	0	0	0	0	Nikola Jokic		misses	shot			two			
401126834	1	00:24	11:36	sa	Derrick White defensive rebound	0 - 0	0	0	0	0	Derrick White		defensive rebound							
401126834	1	00:43	11:17	sa	Jakob Poeltl makes 9-foot two point shot (Bryn Forbes assists)	2 - 0	2	0	2	0	Jakob Poeltl		makes	shot	9		two	Bryn Forbes	assists	
401126834	1	00:58	11:02	den	Nikola Jokic traveling	2 - 0	2	0	0	0	Nikola Jokic		traveling							
401126834	1	01:14	10:46	sa	LaMarcus Aldridge misses two point shot	2 - 0	2	0	0	0	LaMarcus Aldridge		misses	shot			two			
401126834	1	01:15	10:45	sa	Jakob Poeltl offensive rebound	2 - 0	2	0	0	0	Jakob Poeltl		offensive rebound							
401126834	1	01:19	10:41	sa	DeMar DeRozan makes 19-foot pullup jump shot (Jakob Poeltl assists)	4 - 0	4	0	2	0	DeMar DeRozan		makes	pullup jump shot	19			Jakob Poeltl	assists	
401126834	1	01:33	10:27	den	Nikola Jokic makes dunk (Jamal Murray assists)	4 - 2	4	2	0	2	Nikola Jokic		makes	dunk				Jamal Murray	assists	
401126834	1	01:49	10:11	sa	Bryn Forbes makes three point jumper (Derrick White assists)	7 - 2	7	2	3	0	Bryn Forbes		makes	jumper			three	Derrick White	assists	
401126834	1	02:02	9:58	den	Jamal Murray makes 24-foot three point shot (Nikola Jokic assists)	7 - 5	7	5	0	3	Jamal Murray		makes	shot	24		three	Nikola Jokic	assists	
401126834	1	02:26	9:34	sa	DeMar DeRozan makes 18-foot pullup jump shot	9 - 5	9	5	2	0	DeMar DeRozan		makes	pullup jump shot	18					
401126834	1	02:42	9:18	den	LaMarcus Aldridge blocks Paul Millsap 's 4-foot driving layup	9 - 5	9	5	0	0	LaMarcus Aldridge	Paul Millsap	blocks	driving layup	4					
401126834	1	02:42	9:18	den	Nuggets offensive team rebound	9 - 5	9	5	0	0			offensive rebound	team						nuggets
401126834	1	02:48	9:12	den	Jamal Murray misses 25-foot three point jumper	9 - 5	9	5	0	0	Jamal Murray		misses	jumper	25		three			
401126834	1	02:51	9:09	sa	Jakob Poeltl defensive rebound	9 - 5	9	5	0	0	Jakob Poeltl		defensive rebound							
401126834	1	02:58	9:02	sa	Bryn Forbes misses 25-foot three point jumper	9 - 5	9	5	0	0	Bryn Forbes		misses	jumper	25		three			
401126834	1	03:02	8:58	den	Nikola Jokic defensive rebound	9 - 5	9	5	0	0	Nikola Jokic		defensive rebound							
401126834	1	03:17	8:43	den	Gary Harris makes 26-foot three point jumper (Jamal Murray assists)	9 - 8	9	8	0	3	Gary Harris		makes	jumper	26		three	Jamal Murray	assists	
401126834	1	03:28	8:32	sa	DeMar DeRozan misses driving layup	9 - 8	9	8	0	0	DeMar DeRozan		misses	driving layup						
401126834	1	03:30	8:30	den	Torrey Craig defensive rebound	9 - 8	9	8	0	0	Torrey Craig		defensive rebound							
401126834	1	03:34	8:26	den	Paul Millsap makes 25-foot three point jumper (Jamal Murray assists)	9 - 11	9	11	0	3	Paul Millsap		makes	jumper	25		three	Jamal Murray	assists	
401126834	1	03:57	8:03	sa	Nikola Jokic blocks Derrick White 's 4-foot two point shot	9 - 11	9	11	0	0	Nikola Jokic	Derrick White	blocks	shot	4		two			
401126834	1	03:57	8:03	den	Nuggets defensive team rebound	9 - 11	9	11	0	0			defensive rebound	team						nuggets
401126834	1	04:01	7:59	den	Jamal Murray lost ball turnover (Derrick White steals)	9 - 11	9	11	0	0	Jamal Murray		turnover					Derrick White	steals	
401126834	1	04:18	7:42	sa	Derrick White makes two point shot	11 - 11	11	11	2	0	Derrick White		makes	shot			two			
401126834	1	04:38	7:22	den	Nikola Jokic misses 25-foot three point jumper	11 - 11	11	11	0	0	Nikola Jokic		misses	jumper	25		three			
401126834	1	04:40	7:20	sa	LaMarcus Aldridge defensive rebound	11 - 11	11	11	0	0	LaMarcus Aldridge		defensive rebound							
401126834	1	04:43	7:17	sa	Spurs Full timeout	11 - 11	11	11	0	0			full timeout							spurs
401126834	1	04:43	7:17	sa	5 second violation	11 - 11	11	11	0	0			5 second violation							
401126834	1	05:00	7:00	den	Nikola Jokic out of bounds lost ball turnover	11 - 11	11	11	0	0	Nikola Jokic		turnover							
401126834	1	05:10	6:50	den	Paul Millsap personal foul	11 - 11	11	11	0	0	Paul Millsap		foul							
401126834	1	05:20	6:40	sa	Derrick White misses driving floating jump shot	11 - 11	11	11	0	0	Derrick White		misses	driving floating jump shot						
401126834	1	05:22	6:38	den	Paul Millsap defensive rebound	11 - 11	11	11	0	0	Paul Millsap		defensive rebound							
401126834	1	05:27	6:33	den	Paul Millsap misses two point shot	11 - 11	11	11	0	0	Paul Millsap		misses	shot			two			
401126834	1	05:30	6:30	sa	Derrick White defensive rebound	11 - 11	11	11	0	0	Derrick White		defensive rebound							
401126834	1	05:43	6:17	sa	LaMarcus Aldridge misses 14-foot step back jumpshot	11 - 11	11	11	0	0	LaMarcus Aldridge		misses	step back jumpshot	14					
401126834	1	05:47	6:13	den	Torrey Craig defensive rebound	11 - 11	11	11	0	0	Torrey Craig		defensive rebound							
401126834	1	05:49	6:11	sa	LaMarcus Aldridge personal foul	11 - 11	11	11	0	0	LaMarcus Aldridge		foul							
401126834	1	05:49	6:11	sa	Rudy Gay enters the game for Jakob Poeltl	11 - 11	11	11	0	0	Rudy Gay	Jakob Poeltl	enters the game for							
401126834	1	05:56	6:04	den	Gary Harris misses 26-foot three point jumper	11 - 11	11	11	0	0	Gary Harris		misses	jumper	26		three			
401126834	1	05:58	6:02	den	Paul Millsap offensive rebound	11 - 11	11	11	0	0	Paul Millsap		offensive rebound							
401126834	1	06:07	5:53	den	Paul Millsap misses 25-foot three point jumper	11 - 11	11	11	0	0	Paul Millsap		misses	jumper	25		three			
401126834	1	06:09	5:51	sa	Rudy Gay defensive rebound	11 - 11	11	11	0	0	Rudy Gay		defensive rebound							
401126834	1	06:16	5:44	sa	Rudy Gay misses 25-foot step back jumpshot	11 - 11	11	11	0	0	Rudy Gay		misses	step back jumpshot	25					
401126834	1	06:19	5:41	den	Torrey Craig defensive rebound	11 - 11	11	11	0	0	Torrey Craig		defensive rebound							
401126834	1	06:37	5:23	den	Gary Harris makes 23-foot three point jumper (Paul Millsap assists)	11 - 14	11	14	0	3	Gary Harris		makes	jumper	23		three	Paul Millsap	assists	
401126834	1	07:01	4:59	sa	DeMar DeRozan misses two point shot	11 - 14	11	14	0	0	DeMar DeRozan		misses	shot			two			
401126834	1	07:03	4:57	den	Nikola Jokic defensive rebound	11 - 14	11	14	0	0	Nikola Jokic		defensive rebound							
401126834	1	07:10	4:50	sa	Rudy Gay personal foul	11 - 14	11	14	0	0	Rudy Gay		foul							
401126834	1	07:10	4:50	den	Malik Beasley enters the game for Torrey Craig	11 - 14	11	14	0	0	Malik Beasley	Torrey Craig	enters the game for							
401126834	1	07:10	4:50	sa	Marco Belinelli enters the game for Bryn Forbes	11 - 14	11	14	0	0	Marco Belinelli	Bryn Forbes	enters the game for							
401126834	1	07:23	4:37	den	Jamal Murray misses 22-foot three point jumper	11 - 14	11	14	0	0	Jamal Murray		misses	jumper	22		three			
401126834	1	07:26	4:34	den	Paul Millsap offensive rebound	11 - 14	11	14	0	0	Paul Millsap		offensive rebound							
401126834	1	07:30	4:30	den	Jamal Murray makes 25-foot three point jumper (Malik Beasley assists)	11 - 17	11	17	0	3	Jamal Murray		makes	jumper	25		three	Malik Beasley	assists	
401126834	1	07:48	4:12	sa	DeMar DeRozan misses two point shot	11 - 17	11	17	0	0	DeMar DeRozan		misses	shot			two			
401126834	1	07:50	4:10	den	Jamal Murray defensive rebound	11 - 17	11	17	0	0	Jamal Murray		defensive rebound							
401126834	1	07:58	4:02	den	Gary Harris makes two point shot (Nikola Jokic assists)	11 - 19	11	19	0	2	Gary Harris		makes	shot			two	Nikola Jokic	assists	
401126834	1	07:58	4:02	sa	Spurs Full timeout	11 - 19	11	19	0	0			full timeout							spurs
401126834	1	07:58	4:02	sa	Davis Bertans enters the game for Derrick White	11 - 19	11	19	0	0	Davis Bertans	Derrick White	enters the game for							
401126834	1	07:58	4:02	sa	Patty Mills enters the game for DeMar DeRozan	11 - 19	11	19	0	0	Patty Mills	DeMar DeRozan	enters the game for							
401126834	1	08:11	3:49	sa	Patty Mills misses 23-foot three point jumper	11 - 19	11	19	0	0	Patty Mills		misses	jumper	23		three			
401126834	1	08:15	3:45	den	Jamal Murray defensive rebound	11 - 19	11	19	0	0	Jamal Murray		defensive rebound							
401126834	1	08:22	3:38	den	Jamal Murray bad pass (LaMarcus Aldridge steals)	11 - 19	11	19	0	0	Jamal Murray		bad pass					LaMarcus Aldridge	steals	
401126834	1	08:27	3:33	sa	Marco Belinelli misses 25-foot three point jumper	11 - 19	11	19	0	0	Marco Belinelli		misses	jumper	25		three			
401126834	1	08:28	3:32	den	Nuggets defensive team rebound	11 - 19	11	19	0	0			defensive rebound	team						nuggets
401126834	1	08:28	3:32	sa	Rudy Gay loose ball foul	11 - 19	11	19	0	0	Rudy Gay		foul							
401126834	1	08:51	3:09	den	Paul Millsap lost ball turnover (Patty Mills steals)	11 - 19	11	19	0	0	Paul Millsap		turnover					Patty Mills	steals	
401126834	1	08:59	3:01	den	Mason Plumlee enters the game for Paul Millsap	11 - 19	11	19	0	0	Mason Plumlee	Paul Millsap	enters the game for							
401126834	1	08:59	3:01	den	Monte Morris enters the game for Jamal Murray	11 - 19	11	19	0	0	Monte Morris	Jamal Murray	enters the game for							
401126834	1	09:12	2:48	den	Mason Plumlee shooting foul	11 - 19	11	19	0	0	Mason Plumlee		foul							
401126834	1	09:12	2:48	sa	LaMarcus Aldridge makes free throw 1 of 2	12 - 19	12	19	1	0	LaMarcus Aldridge		makes	free throw		1-2				
401126834	1	09:12	2:48	sa	LaMarcus Aldridge misses free throw 2 of 2	12 - 19	12	19	0	0	LaMarcus Aldridge		misses	free throw		2-2				
