game_id	quarter	q_time	q_time_remaining	team	event	score	team1_score	team2_score	team1_event_point	team2_event_point	player1	player2	action	action_what	foot_value	free_throw	point_info	player_secondary	action_secondary	team_action
401126865	1	00:00	12:00	ind	Aron Baynes vs. Myles Turner (Thaddeus Young gains possession)	0 - 0	0	0	0	0	Aron Baynes	Myles Turner	vs.					Thaddeus Young	gains possession	
401126865	1	00:16	11:44	ind	Thaddeus Young misses layup	0 - 0	0	0	0	0	Thaddeus Young		misses	layup						
401126865	1	00:18	11:42	bos	Jayson Tatum defensive rebound	0 - 0	0	0	0	0	Jayson Tatum		defensive rebound							
401126865	1	00:33	11:27	ind	Darren Collison shooting foul	0 - 0	0	0	0	0	Darren Collison		foul							
401126865	1	00:33	11:27	bos	Kyrie Irving misses free throw 1 of 2	0 - 0	0	0	0	0	Kyrie Irving		misses	free throw		1-2				
401126865	1	00:33	11:27	bos	Celtics offensive team rebound	0 - 0	0	0	0	0			offensive rebound	team						celtics
401126865	1	00:33	11:27	bos	Kyrie Irving makes free throw 2 of 2	1 - 0	1	0	1	0	Kyrie Irving		makes	free throw		2-2				
401126865	1	00:44	11:16	ind	Bojan Bogdanovic misses two point shot	1 - 0	1	0	0	0	Bojan Bogdanovic		misses	shot			two			
401126865	1	00:47	11:13	bos	Al Horford defensive rebound	1 - 0	1	0	0	0	Al Horford		defensive rebound							
401126865	1	00:51	11:09	bos	Jaylen Brown makes driving layup	3 - 0	3	0	2	0	Jaylen Brown		makes	driving layup						
401126865	1	01:02	10:58	ind	Bojan Bogdanovic offensive charge	3 - 0	3	0	0	0	Bojan Bogdanovic		offensive charge							
401126865	1	01:02	10:58	ind	Bojan Bogdanovic turnover	3 - 0	3	0	0	0	Bojan Bogdanovic		turnover							
401126865	1	01:08	10:52	bos	Kyrie Irving makes 10-foot driving floating jump shot	5 - 0	5	0	2	0	Kyrie Irving		makes	driving floating jump shot	10					
401126865	1	01:26	10:34	ind	Darren Collison misses 23-foot three point jumper	5 - 0	5	0	0	0	Darren Collison		misses	jumper	23		three			
401126865	1	01:29	10:31	bos	Kyrie Irving defensive rebound	5 - 0	5	0	0	0	Kyrie Irving		defensive rebound							
401126865	1	01:32	10:28	bos	Jayson Tatum makes 28-foot three pointer (Kyrie Irving assists)	8 - 0	8	0	3	0	Jayson Tatum		makes	er	28		three	Kyrie Irving	assists	
401126865	1	01:35	10:25	ind	Pacers Full timeout	8 - 0	8	0	0	0			full timeout							pacers
401126865	1	01:57	10:03	ind	Myles Turner misses 20-foot pullup jump shot	8 - 0	8	0	0	0	Myles Turner		misses	pullup jump shot	20					
401126865	1	02:00	10:00	bos	Al Horford defensive rebound	8 - 0	8	0	0	0	Al Horford		defensive rebound							
401126865	1	02:09	9:51	bos	Al Horford misses 27-foot three point jumper	8 - 0	8	0	0	0	Al Horford		misses	jumper	27		three			
401126865	1	02:12	9:48	ind	Darren Collison defensive rebound	8 - 0	8	0	0	0	Darren Collison		defensive rebound							
