game_id	quarter	q_time	q_time_remaining	team	event	score	team1_score	team2_score	team1_event_point	team2_event_point	player1	player2	action	action_what	foot_value	free_throw	point_info	player_secondary	action_secondary	team_action
401126854	1	00:00	12:00	utah	Rudy Gobert vs. Clint Capela (Ricky Rubio gains possession)	0 - 0	0	0	0	0	Rudy Gobert	Clint Capela	vs.					Ricky Rubio	gains possession	
401126854	1	00:24	11:36	utah	Donovan Mitchell misses driving floating jump shot	0 - 0	0	0	0	0	Donovan Mitchell		misses	driving floating jump shot						
401126854	1	00:26	11:34	hou	Clint Capela defensive rebound	0 - 0	0	0	0	0	Clint Capela		defensive rebound							
401126854	1	00:40	11:20	hou	PJ Tucker misses 24-foot three point jumper	0 - 0	0	0	0	0	PJ Tucker		misses	jumper	24		three			
401126854	1	00:43	11:17	utah	Joe Ingles defensive rebound	0 - 0	0	0	0	0	Joe Ingles		defensive rebound							
401126854	1	00:57	11:03	hou	James Harden personal foul	0 - 0	0	0	0	0	James Harden		foul							
401126854	1	01:07	10:53	utah	Ricky Rubio makes pullup jump shot (Joe Ingles assists)	2 - 0	2	0	2	0	Ricky Rubio		makes	pullup jump shot				Joe Ingles	assists	
401126854	1	01:26	10:34	hou	Clint Capela misses layup	2 - 0	2	0	0	0	Clint Capela		misses	layup						
401126854	1	01:26	10:34	utah	Ricky Rubio defensive rebound	2 - 0	2	0	0	0	Ricky Rubio		defensive rebound							
401126854	1	01:35	10:25	utah	Rudy Gobert makes dunk (Derrick Favors assists)	4 - 0	4	0	2	0	Rudy Gobert		makes	dunk				Derrick Favors	assists	
401126854	1	01:48	10:12	hou	Clint Capela makes alley oop dunk shot (James Harden assists)	4 - 2	4	2	0	2	Clint Capela		makes	alley oop dunk shot				James Harden	assists	
401126854	1	02:08	9:52	utah	Donovan Mitchell makes driving layup	6 - 2	6	2	2	0	Donovan Mitchell		makes	driving layup						
401126854	1	02:23	9:37	hou	PJ Tucker misses three point jumper	6 - 2	6	2	0	0	PJ Tucker		misses	jumper			three			
401126854	1	02:27	9:33	hou	Clint Capela offensive rebound	6 - 2	6	2	0	0	Clint Capela		offensive rebound							
401126854	1	02:33	9:27	hou	PJ Tucker makes 2-foot two point shot (Eric Gordon assists)	6 - 4	6	4	0	2	PJ Tucker		makes	shot	2		two	Eric Gordon	assists	
401126854	1	02:45	9:15	utah	Ricky Rubio traveling	6 - 4	6	4	0	0	Ricky Rubio		traveling							
401126854	1	02:53	9:07	hou	Chris Paul bad pass (Derrick Favors steals)	6 - 4	6	4	0	0	Chris Paul		bad pass					Derrick Favors	steals	
401126854	1	02:57	9:03	utah	Ricky Rubio makes two point shot (Derrick Favors assists)	8 - 4	8	4	2	0	Ricky Rubio		makes	shot			two	Derrick Favors	assists	
