game_id	quarter	q_time	q_time_remaining	team	event	score	team1_score	team2_score	team1_event_point	team2_event_point	player1	player2	action	action_what	foot_value	free_throw	point_info	player_secondary	action_secondary	team_action
401126835	1	00:00	12:00	sa	Nikola Jokic vs. Jakob Poeltl (Derrick White gains possession)	0 - 0	0	0	0	0	Nikola Jokic	Jakob Poeltl	vs.					Derrick White	gains possession	
401126835	1	00:16	11:44	sa	DeMar DeRozan makes 12-foot two point shot (LaMarcus Aldridge assists)	0 - 2	0	2	0	2	DeMar DeRozan		makes	shot	12		two	LaMarcus Aldridge	assists	
401126835	1	00:36	11:24	den	Nikola Jokic misses driving layup	0 - 2	0	2	0	0	Nikola Jokic		misses	driving layup						
401126835	1	00:37	11:23	sa	Spurs defensive team rebound	0 - 2	0	2	0	0			defensive rebound	team						spurs
401126835	1	00:37	11:23	den	Nikola Jokic loose ball foul	0 - 2	0	2	0	0	Nikola Jokic		foul							
401126835	1	00:54	11:06	sa	LaMarcus Aldridge makes 12-foot pullup jump shot (DeMar DeRozan assists)	0 - 4	0	4	0	2	LaMarcus Aldridge		makes	pullup jump shot	12			DeMar DeRozan	assists	
401126835	1	01:12	10:48	den	Nikola Jokic out of bounds bad pass turnover	0 - 4	0	4	0	0	Nikola Jokic		turnover							
401126835	1	01:22	10:38	sa	LaMarcus Aldridge misses alley oop dunk shot	0 - 4	0	4	0	0	LaMarcus Aldridge		misses	alley oop dunk shot						
401126835	1	01:26	10:34	den	Torrey Craig defensive rebound	0 - 4	0	4	0	0	Torrey Craig		defensive rebound							
401126835	1	01:30	10:30	den	Gary Harris makes driving layup (Nikola Jokic assists)	2 - 4	2	4	2	0	Gary Harris		makes	driving layup				Nikola Jokic	assists	
401126835	1	01:43	10:17	sa	LaMarcus Aldridge makes 10-foot two point shot	2 - 6	2	6	0	2	LaMarcus Aldridge		makes	shot	10		two			
401126835	1	02:00	10:00	den	Nikola Jokic misses driving floating jump shot	2 - 6	2	6	0	0	Nikola Jokic		misses	driving floating jump shot						
401126835	1	02:05	9:55	den	Nikola Jokic offensive rebound	2 - 6	2	6	0	0	Nikola Jokic		offensive rebound							
401126835	1	02:05	9:55	den	Nikola Jokic makes tip shot	4 - 6	4	6	2	0	Nikola Jokic		makes	tip shot						
401126835	1	02:17	9:43	sa	Jakob Poeltl makes 5-foot layup (DeMar DeRozan assists)	4 - 8	4	8	0	2	Jakob Poeltl		makes	layup	5			DeMar DeRozan	assists	
401126835	1	02:30	9:30	den	Derrick White blocks Torrey Craig 's 4-foot layup	4 - 8	4	8	0	0	Derrick White	Torrey Craig	blocks	layup	4					
401126835	1	02:30	9:30	den	Nuggets offensive team rebound	4 - 8	4	8	0	0			offensive rebound	team						nuggets
401126835	1	02:36	9:24	den	Paul Millsap makes 6-foot two point shot	6 - 8	6	8	2	0	Paul Millsap		makes	shot	6		two			
401126835	1	02:50	9:10	sa	Jakob Poeltl makes 4-foot layup (LaMarcus Aldridge assists)	6 - 10	6	10	0	2	Jakob Poeltl		makes	layup	4			LaMarcus Aldridge	assists	
401126835	1	03:03	8:57	sa	Jakob Poeltl shooting foul	6 - 10	6	10	0	0	Jakob Poeltl		foul							
401126835	1	03:03	8:57	den	Nikola Jokic makes free throw 1 of 2	7 - 10	7	10	1	0	Nikola Jokic		makes	free throw		1-2				
401126835	1	03:03	8:57	den	Nikola Jokic makes free throw 2 of 2	8 - 10	8	10	1	0	Nikola Jokic		makes	free throw		2-2				
401126835	1	03:20	8:40	sa	Derrick White misses 6-foot pullup jump shot	8 - 10	8	10	0	0	Derrick White		misses	pullup jump shot	6					
