game_id	quarter	q_time	q_time_remaining	team	event	score	team1_score	team2_score	team1_event_point	team2_event_point	player1	player2	action	action_what	foot_value	free_throw	point_info	player_secondary	action_secondary	team_action
401126837	1	00:00	12:00	tor	Nikola Vucevic vs. Marc Gasol (Kyle Lowry gains possession)	0 - 0	0	0	0	0	Nikola Vucevic	Marc Gasol	vs.					Kyle Lowry	gains possession	
401126837	1	00:20	11:40	tor	Kyle Lowry makes 4-foot two point shot (Danny Green assists)	0 - 2	0	2	0	2	Kyle Lowry		makes	shot	4		two	Danny Green	assists	
401126837	1	00:32	11:28	orl	Nikola Vucevic misses 16-foot jumper	0 - 2	0	2	0	0	Nikola Vucevic		misses	jumper	16					
401126837	1	00:35	11:25	tor	Pascal Siakam defensive rebound	0 - 2	0	2	0	0	Pascal Siakam		defensive rebound							
401126837	1	00:43	11:17	orl	Nikola Vucevic personal foul	0 - 2	0	2	0	0	Nikola Vucevic		foul							
401126837	1	00:58	11:02	tor	Kawhi Leonard misses 10-foot two point shot	0 - 2	0	2	0	0	Kawhi Leonard		misses	shot	10		two			
401126837	1	01:02	10:58	orl	Nikola Vucevic defensive rebound	0 - 2	0	2	0	0	Nikola Vucevic		defensive rebound							
401126837	1	01:09	10:51	tor	Kawhi Leonard defensive 3-seconds (technical foul)	0 - 2	0	2	0	0	Kawhi Leonard		defensive 3-seconds							
401126837	1	01:09	10:51	orl	D.J. Augustin makes technical free throw	1 - 2	1	2	1	0	D.J. Augustin		makes	technical free throw						
401126837	1	01:15	10:45	orl	D.J. Augustin misses 25-foot three point jumper	1 - 2	1	2	0	0	D.J. Augustin		misses	jumper	25		three			
401126837	1	01:18	10:42	tor	Kyle Lowry defensive rebound	1 - 2	1	2	0	0	Kyle Lowry		defensive rebound							
401126837	1	01:22	10:38	tor	Kyle Lowry makes 26-foot running pullup jump shot	1 - 5	1	5	0	3	Kyle Lowry		makes	running pullup jump shot	26					
401126837	1	01:39	10:21	orl	Nikola Vucevic misses 24-foot three point jumper	1 - 5	1	5	0	0	Nikola Vucevic		misses	jumper	24		three			
401126837	1	01:42	10:18	tor	Kawhi Leonard defensive rebound	1 - 5	1	5	0	0	Kawhi Leonard		defensive rebound							
401126837	1	01:49	10:11	tor	Kyle Lowry makes layup (Kawhi Leonard assists)	1 - 7	1	7	0	2	Kyle Lowry		makes	layup				Kawhi Leonard	assists	
401126837	1	02:00	10:00	tor	Marc Gasol personal foul	1 - 7	1	7	0	0	Marc Gasol		foul							
401126837	1	02:06	9:54	tor	Danny Green personal foul	1 - 7	1	7	0	0	Danny Green		foul							
401126837	1	02:19	9:41	orl	Pascal Siakam blocks Jonathan Isaac 's 11-foot two point shot	1 - 7	1	7	0	0	Pascal Siakam	Jonathan Isaac	blocks	shot	11		two			
401126837	1	02:23	9:37	tor	Marc Gasol defensive rebound	1 - 7	1	7	0	0	Marc Gasol		defensive rebound							
401126837	1	02:25	9:35	tor	Kyle Lowry makes two point shot	1 - 9	1	9	0	2	Kyle Lowry		makes	shot			two			
401126837	1	02:39	9:21	orl	Aaron Gordon offensive foul	1 - 9	1	9	0	0	Aaron Gordon		foul							
401126837	1	02:39	9:21	orl	Aaron Gordon turnover	1 - 9	1	9	0	0	Aaron Gordon		turnover							
401126837	1	02:53	9:07	tor	Pascal Siakam misses 23-foot three point jumper	1 - 9	1	9	0	0	Pascal Siakam		misses	jumper	23		three			
401126837	1	02:53	9:07	tor	Kawhi Leonard offensive rebound	1 - 9	1	9	0	0	Kawhi Leonard		offensive rebound							
401126837	1	02:53	9:07	tor	Kawhi Leonard makes two point shot	1 - 11	1	11	0	2	Kawhi Leonard		makes	shot			two			
401126837	1	02:53	9:07	orl	Aaron Gordon shooting foul	1 - 11	1	11	0	0	Aaron Gordon		foul							
401126837	1	02:53	9:07	tor	Kawhi Leonard makes free throw 1 of 1	1 - 12	1	12	0	1	Kawhi Leonard		makes	free throw		1-1				
